Sentence,Answer,Score
The President: Good evening.,Good evening,0.026044469326734543
"If I were smart, I'd go home now.",If I were smart,0.1392502635717392
"In January 1941, President Franklin Roosevelt came to this chamber to speak to the nation.",President Franklin Roosevelt came to this chamber to speak to the nation,0.010529491119086742
"He said, ""I address you at a moment unprecedented in the history of the Union.""","""I address you at a moment unprecedented in the history of the Union",0.16936945915222168
Hitler was on the march.,Hitler was on the march,0.12797904014587402
War was raging in Europe.,War was raging in Europe,0.020592138171195984
President Roosevelt’s purpose was to wake up the Congress and alert the American people that this was no ordinary time.,no ordinary time,0.10723230987787247
Freedom and democracy were under assault in the world.,Freedom and democracy were under assault,0.015974070876836777
Tonight I come to the same chamber to address the nation.,Tonight I come to the same chamber to address the nation,0.0023033132310956717
Now it is we who face an unprecedented moment in the history of the Union.,we who face an unprecedented moment in the history of the Union,0.022156018763780594
"And yes, my purpose tonight is to wake up this Congress, and alert the American people that this is no ordinary moment either.",my purpose tonight is to wake up this Congress,0.02958833985030651
Not since President Lincoln and the Civil War have freedom and democracy been under assault here at home as they are today.,freedom and democracy,0.010175347328186035
"What makes our moment rare is that freedom and democracy are under attack, both at home and overseas, at the very same time.",freedom and democracy are under attack,0.008729040622711182
"Overseas, Putin of Russia is on the march, invading Ukraine and sowing chaos throughout Europe and beyond.",Putin,0.116180419921875
"If anybody in this room thinks Putin will stop at Ukraine, I assure you, he will not.",he will not,0.14239312708377838
Ukraine can stop Putin if we stand with Ukraine and provide the weapons it needs to defend itself.,Ukraine can stop Putin if we stand with Ukraine,0.06208047270774841
That is all Ukraine is asking.,Ukraine is asking,0.21408939361572266
They are not asking for American soldiers.,They are not asking for American soldiers,0.449542373418808
"In fact, there are no American soldiers at war in Ukraine.",there are no American soldiers at war in Ukraine,0.29738110303878784
And I am determined to keep it that way.,I am determined to keep it that way.,0.003549295011907816
But now assistance for Ukraine is being blocked by those who want us to walk away from our world leadership.,assistance for Ukraine is being blocked,0.05824269726872444
"It wasn’t that long ago when a Republican President, Ronald Reagan, thundered, ""Mr.",Ronald Reagan,0.008749259635806084
"Gorbachev, tear down this wall.""",tear down this wall,0.5013295412063599
"Now, my predecessor, a former Republican President, tells Putin, ""Do whatever the hell you want.""","Do whatever the hell you want.""",0.17346630990505219
"A former American President actually said that, bowing down to a Russian leader.",bowing down to a Russian leader,0.2660141885280609
America is a founding member of NATO the military alliance of democratic nations created after World War II to prevent war and keep the peace.,America is a founding member of NATO,0.030057573691010475
"Today, we’ve made NATO stronger than ever.",we’ve made NATO stronger than ever,0.07758019864559174
"We welcomed Finland to the Alliance last year, and just this morning, Sweden officially join and their Prime Minister is here tonight.",Prime Minister is here tonight.,0.0007681941497139633
And they know how to fight.,they know how to fight,0.09909472614526749
"Prime Minister, welcome to NATO, the strongest military alliance the world has ever seen.",welcome to NATO,0.11474677175283432
I say this to Congress: we must stand up to Putin.,we must stand up to Putin,0.1683463603258133
Send me the Bipartisan National Security Bill.,Send me the Bipartisan National Security Bill,0.07360446453094482
History is literally watching.,History is literally watching,0.1692584753036499
"If the United States walks away now, it will put Ukraine at risk.","If the United States walks away now, it will put Ukraine at risk",0.05952848494052887
"The free world at risk, emboldening others who wish to do us harm.",The free world at risk,0.3927426338195801
"My message to President Putin, who've I've know for a long time is simple.",President Putin,0.0847100168466568
We will not walk away.,We will not walk away,0.3258954584598541
We will not bow down.,We will not bow down,0.1566089242696762
I will not bow down.,I will not bow down,0.24874652922153473
"In a literal sence, history is watching.",history is watching,0.44717350602149963
History is watching just like history watched three years ago on January 6th.,History is watching just like history watched three years ago on January 6th.,0.005764910019934177
Insurrectionists stormed this very Capitol and placed a dagger at the throat of American democracy.,Insurrectionists,0.0218370258808136
Many of you were here on that darkest of days.,darkest of days.,0.0009405731689184904
We all saw with our own eyes these insurrectionists were not patriots.,not patriots,0.15147367119789124
They had come to stop the peaceful transfer of power and to overturn the will of the people.,They had come to stop the peaceful transfer of power,0.09027130156755447
"January 6th lies about the 2020 election, and the plots to steal the election, posed the gravest threat to our democracy since the Civil War.",January 6th lies about the 2020 election,0.11494498699903488
America stood strong and democracy prevailed.,America stood strong and democracy prevailed,0.22416403889656067
But we must be honest the threat remains and democracy must be defended.,the threat remains and democracy must be defended,0.024976765736937523
My predecessor and some of you here seek to bury the truth of January 6th.,bury the truth of January 6th,0.014396945014595985
I will not do that.,I will not do that,0.15437264740467072
This is a moment to speak the truth and bury the lies.,speak the truth,0.205487459897995
And here’s the simplest truth.,here’s the simplest truth,0.06072049215435982
You can’t love your country only when you win.,You can’t love your country only when you win,0.1508582979440689
"As I’ve done ever since being elected to office, I ask you all, without regard to party, to join together and defend our democracy.",to join together and defend our democracy,0.08056265115737915
Remember your oath of office to defend against all threats foreign and domestic.,Remember your oath of office to defend against all threats foreign and domestic,0.039933398365974426
Respect free and fair elections!,Respect free and fair elections,0.06582336127758026
Restore trust in our institutions!,Restore trust in our institutions,0.06255145370960236
"And make clear –political violence has absolutely no place, no place in America.","political violence has absolutely no place, no place in America",0.1317032128572464
It's not hyperbole to suggest history is watching.,history is watching,0.20434267818927765
Your children and grandchildren will read about this day and what we do.,Your children and grandchildren will read about this day and what we do.,0.0006636993493884802
And history is watching another assault on freedom.,freedom,0.006055665202438831
"Joining us tonight is Latorya Beasley, a social worker from Birmingham, Alabama. 14 months ago, 14 months ago she and her husband welcomed a baby girl thanks to the miracle of IVF.",miracle of IVF,0.0002768330159597099
"She scheduled treatments to have a second child, but the Alabama Supreme Court shut down IVF treatments across the state, unleashed by the Supreme Court decision overturning Roe v.",She scheduled treatments to have a second child,0.03981773182749748
She was told her dream would have to wait.,her dream would have to wait,0.1529572308063507
What her family has gone through should never have happened.,What her family has gone through should never have happened,0.12243635952472687
"And unless Congress acts, it could happen again.","unless Congress acts, it could happen again",0.006666422821581364
"So tonight, let’s stand up for families like hers!",let’s stand up for families like hers,0.0010727617191150784
"To my friends across the aisle, don’t keep families waiting any longer.",don’t keep families waiting any longer,0.22625650465488434
Guarantee the right to IVF.,Guarantee the right to IVF,0.6342960000038147
"Like most Americans, I believe Roe v.",Roe v,0.07411421835422516
Wade got it right.,Wade got it right,0.1316593587398529
"And I thank Vice President Harris for being an incredible leader, defending reproductive freedom and so much more.",defending reproductive freedom,0.04866162687540054
But my predecessor came to office determined to see Roe v.,Roe v,0.006759360898286104
He’s the reason it was overturned.,He’s the reason it was overturned,0.18786510825157166
"In fact, he brags about it.",brags about it,0.2060529738664627
Look at the chaos that has resulted.,chaos that has resulted.,0.0005122677539475262
"Joining us tonight is Kate Cox, a wife and mother from Dallas.","Kate Cox, a wife and mother",0.003448368748649955
"When she became pregnant again, the fetus had a fatal condition.","When she became pregnant again, the fetus had a fatal condition",0.12151455879211426
Her doctors told Kate that her own life and her ability to have children in the future were at risk if she didn’t act.,her own life and her ability to have children in the future were at risk,0.021284090355038643
"Because Texas law banned abortion, Kate and her husband had to leave the state to get the care she needed.",Texas law banned abortion,0.08569632470607758
What her family has gone through should never have happened as well.,What her family has gone through should never have happened as well,0.10232478380203247
But it is happening to so many others.,it is happening to so many others.,0.001647795899771154
"There are state laws banning the freedom to choose, criminalizing doctors, and forcing survivors of rape and incest to leave their states as well to get the care they need.",state laws,0.03136516734957695
Many of you in this Chamber and my predecessor are promising to pass a national ban on reproductive freedom.,a national ban on reproductive freedom,0.0906067043542862
"My God, what freedoms will you take away next?",My God,0.028615664690732956
Looks in its decision to overturn Roe v.,decision to overturn Roe v.,0.0009142167982645333
"Wade the Supreme Court majority wrote the following -- and will all due respect, Justices. ""Women are not without electoral power -- excuse me -- electoral or political power.""",Women are not without electoral power,0.11908978968858719
You're about to realize just how much you .,You're about to realize just how much you .,2.3605640308232978e-05
"Clearly -- Clearly, those bragging about overturning Roe v.",bragging about overturning Roe v.,0.11099826544523239
Wade have no clue about the power of women in America.,Wade have no clue about the power of women in America,0.08503931760787964
"But they found out when reproductive freedom was on the ballot and won in 2022, 2023, and they will find out again, in 2024.",reproductive freedom,0.2618941068649292
"If you the American people send me a Congress that supports the right to choose, I promise you, I will restore Roe v.",I will restore Roe v,0.11160171031951904
Wade as the law of the land again!,Wade as the law of the land,0.02038721740245819
